order_id,user_id,order_date,order_status
101,1,"2023-04-01 10:15:00",completed
102,2,"2023-04-02 09:25:00",completed
103,4,"2023-04-04 16:30:00",completed
1001,4219,"2026-04-05 14:18:03",completed
1002,4859,"2026-04-01 15:12:03",completed
1003,2248,"2026-03-28 14:50:03",completed
1004,2790,"2026-03-29 14:20:03",completed
1005,1649,"2026-04-03 14:52:03",completed
1006,193,"2026-04-14 15:05:03",completed
1007,1032,"2026-03-29 14:32:03",completed
1008,3032,"2026-03-17 15:13:03",completed
1009,301,"2026-04-08 15:10:03",completed
1010,255,"2026-03-24 14:57:03",completed
1011,1557,"2026-03-28 14:59:03",completed
1012,3841,"2026-04-02 14:50:03",completed
1013,2249,"2026-03-30 14:58:03",completed
1014,503,"2026-04-03 15:03:03",completed
1015,366,"2026-03-24 15:08:03",completed
1016,4801,"2026-03-24 15:12:03",completed
1017,485,"2026-04-12 14:22:03",completed
1018,2512,"2026-04-02 14:57:03",completed
1019,1360,"2026-04-02 14:23:03",completed
1020,1932,"2026-04-03 14:51:03",completed
1021,4018,"2026-03-22 14:49:03",completed
1022,3468,"2026-03-30 14:17:03",completed
1023,4812,"2026-04-10 14:43:03",completed
1024,3949,"2026-03-23 14:29:03",completed
1025,2784,"2026-04-12 15:01:03",completed
1026,2916,"2026-03-25 14:22:03",completed
1027,4873,"2026-03-29 14:30:03",completed
1028,4818,"2026-03-21 15:10:03",completed
1029,454,"2026-04-14 15:04:03",completed
1030,2625,"2026-03-30 14:35:03",completed
1031,2216,"2026-03-18 14:26:03",completed
1032,2316,"2026-03-27 15:10:03",completed
1033,766,"2026-04-03 14:18:03",completed
1034,4853,"2026-03-28 14:44:03",completed
1035,2134,"2026-04-05 14:30:03",completed
1036,4563,"2026-03-27 15:03:03",completed
1037,2721,"2026-03-29 14:30:03",completed
1038,3682,"2026-03-21 15:05:03",completed
1039,968,"2026-04-11 14:38:03",completed
1040,3653,"2026-04-05 14:39:03",completed
1041,1301,"2026-04-03 15:07:03",completed
1042,4114,"2026-03-21 14:24:03",completed
1043,2441,"2026-04-05 14:23:03",completed
1044,2800,"2026-03-27 14:29:03",completed
1045,1018,"2026-04-01 14:58:03",completed
1046,391,"2026-03-30 15:10:03",completed
1047,1888,"2026-03-26 14:39:03",completed
1048,1271,"2026-04-04 14:32:03",completed
1049,4474,"2026-04-09 14:25:03",completed
